,labels,keywords ,"LDA, bow","random forest, bow","Naive Bayes, bow","BayesianRidge, bow","basic K-Nearest Neighbors, bow","basic Logistic Regression, bow","basic Support Vector Machine-L, bow","basic Support Vector Machine-R, bow","basic Support Vector Machine-S, bow","basic Support Vector Machine-WL, bow","basic Support Vector Machine-WR, bow","basic Support Vector Machine-WS, bow","basic Decision Tree classifier, bow","Ensemble, Random Forest, bow","Ensemble, AdaBoost, bow","Ensemble, Gradient Boosting, bow","Ensemble, Extra Trees, bow","Ensemble, LightGBM, bow","Ensemble, CatBoost, bow","torch nn, bow","torch nn last, bow","MoE, Eq. Weight, bow","MoE, rf-cmb, bow","MoE, gb-cmb, bow","MoE, lr-cmb, bow","MoE, mlpc-cmb, bow","MoE, all-cmb, bow","basic K-Nearest Neighbors, gensim_doc2vec, ","basic Logistic Regression, gensim_doc2vec, ","basic Support Vector Machine-L, gensim_doc2vec, ","basic Support Vector Machine-R, gensim_doc2vec, ","basic Support Vector Machine-S, gensim_doc2vec, ","basic Support Vector Machine-WL, gensim_doc2vec, ","basic Support Vector Machine-WR, gensim_doc2vec, ","basic Support Vector Machine-WS, gensim_doc2vec, ","basic Decision Tree classifier, gensim_doc2vec, ","basic K-Nearest Neighbors, gensim-fasttext","basic Logistic Regression, gensim-fasttext","basic Support Vector Machine-L, gensim-fasttext","basic Support Vector Machine-R, gensim-fasttext","basic Support Vector Machine-S, gensim-fasttext","basic Support Vector Machine-WL, gensim-fasttext","basic Support Vector Machine-WR, gensim-fasttext","basic Support Vector Machine-WS, gensim-fasttext","basic Decision Tree classifier, gensim-fasttext","basic K-Nearest Neighbors, gensim-fasttext-words","basic Logistic Regression, gensim-fasttext-words","basic Support Vector Machine-L, gensim-fasttext-words","basic Support Vector Machine-R, gensim-fasttext-words","basic Support Vector Machine-S, gensim-fasttext-words","basic Support Vector Machine-WL, gensim-fasttext-words","basic Support Vector Machine-WR, gensim-fasttext-words","basic Support Vector Machine-WS, gensim-fasttext-words","basic Decision Tree classifier, gensim-fasttext-words"
0,0,1,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0.0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1
1,1,1,0,0,False,False,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,False,False,1.0,1,0,1,1,1.0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0
2,1,1,1,1,False,True,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,False,True,1.0,1,1,1,1,1.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
3,1,1,0,1,False,False,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,False,False,1.0,0,1,0,0,0.0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
4,1,1,1,1,False,True,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,True,True,1.0,1,1,1,1,1.0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
5,1,1,1,1,False,True,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,True,False,1.0,1,1,1,1,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0
6,1,1,0,1,False,True,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,True,True,1.0,1,1,1,1,1.0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
7,1,1,1,0,True,False,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,False,False,1.0,0,1,1,1,1.0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1
8,1,1,0,1,True,True,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,True,True,1.0,1,1,1,1,1.0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1
9,1,1,1,1,True,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,True,True,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
